taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.4233348043091723,0.3029065569413088,6,Class,13
Alphaproteobacteria,0.3523547714882371,0.22270116498730513,6,Class,13
Bacilli,0.40986864659457756,0.28658735849230893,7,Class,13
Bacteroidia,0.5211983258235369,0.30966754035586247,7,Class,13
Clostridia,0.4747451774007397,0.3029106148772682,7,Class,13
Coriobacteriia,0.42843660560499436,0.272714746183868,6,Class,13
Desulfovibrionia,0.55496187426721,0.21690698046029935,6,Class,13
Fibrobacteria,0.4471030336500254,0.26579368265415054,7,Class,13
Gammaproteobacteria,0.5532855478240534,0.26621167227360615,7,Class,13
Gracilibacteria,0.53641492189545,0.29672463616008604,7,Class,13
Kiritimatiellae,0.5183847653833159,0.33952188733055416,7,Class,13
Lentisphaeria,0.4458863959915517,0.29730179343164004,7,Class,13
MVP-15,0.4545454545454546,NA,2,Class,13
Methanobacteria,0.45057631195603864,0.3025074673293746,7,Class,13
Negativicutes,0.49081393775438037,0.26321441610145346,7,Class,13
Spirochaetia,0.4721917238137968,0.28763793244977387,7,Class,13
Thermoplasmata,0.22988505747126442,NA,2,Class,13
Absconditabacteriales_(SR1),0.5241128254049026,0.28703846907638997,7,Order,13
Acetobacterales,0.4494914770886206,0.19254228396236578,4,Order,13
Acholeplasmatales,0.41743493339771875,0.2755877636395707,7,Order,13
Acidaminococcales,0.45285301994840177,0.2515769084034142,7,Order,13
Aeromonadales,0.5238886800259689,0.2484186610193485,7,Order,13
Bacteroidales,0.5166564498386969,0.30622285028193463,7,Order,13
Bifidobacteriales,0.4189504833145957,0.29733837500805677,6,Order,13
Burkholderiales,0.5895953757225434,NA,2,Order,13
Christensenellales,0.4403660863275433,0.2666830023637635,7,Order,13
Clostridia_UCG-014,0.4656304903338099,0.3025686580329164,7,Order,13
Clostridia_or,0.4700885347976456,0.24015810243807226,7,Order,13
Coriobacteriales,0.4205952502369572,0.2653764673303716,6,Order,13
Desulfovibrionales,0.5489601050725126,0.21086838284502318,6,Order,13
Eubacteriales,0.8244274809160306,NA,2,Order,13
Fibrobacterales,0.44474276355784537,0.2629603059637918,7,Order,13
Lachnospirales,0.4774982633292267,0.31334124713267697,7,Order,13
Lactobacillales,0.625309673590652,0.11470396577538662,3,Order,13
Methanobacteriales,0.4449948187541331,0.29509633452583445,7,Order,13
Methanomassiliicoccales,0.2277992277992278,NA,2,Order,13
Oligosphaerales,0.7388461363097291,0.13938473410260843,4,Order,13
Oscillospirales,0.4812262320540458,0.3040054439168425,7,Order,13
Peptostreptococcales-Tissierellales,0.5755042324514654,0.17883151262917085,6,Order,13
Rhodospirillales,0.3632680010222219,0.2689646556757773,4,Order,13
Spirochaetales,0.46934358959287237,0.284132319092398,7,Order,13
Veillonellales-Selenomonadales,0.5002615747886544,0.25868150781549826,7,Order,13
Victivallales,0.48798168576695955,0.2887990786745144,7,Order,13
WCHB1-41,0.5124699088443634,0.33242525038515575,7,Order,13
Acetobacteraceae,0.44438042604343286,0.1800474135906077,4,Family,13
Acholeplasmataceae,0.4142576193205355,0.271862948648962,7,Family,13
Acidaminococcaceae,0.44199042863888066,0.23913868878574712,7,Family,13
Anaerovoracaceae,0.5679861416107056,0.17881582576997318,6,Family,13
Atopobiaceae,0.44795751534708794,0.2530268734319416,6,Family,13
Bacteroidales_BS11_gut_group,0.5077272715792446,0.2950449326001849,7,Family,13
Bacteroidales_RF16_group,0.440205573894526,0.2532476771013778,7,Family,13
Bacteroidales_UCG-001,0.2858909065627676,0.21948787056535354,4,Family,13
Bifidobacteriaceae,0.409051161806038,0.28514285212708435,6,Family,13
Christensenellaceae,0.43690755000412484,0.2567630432346417,7,Family,13
Defluviitaleaceae,0.541032739441693,0.16551535549751664,5,Family,13
Desulfovibrionaceae,0.5323153771516124,0.195847248996759,6,Family,13
Eggerthellaceae,0.45011600928074247,NA,2,Family,13
Eubacteriaceae,0.7918367346938775,NA,2,Family,13
F082,0.4618100576870514,0.2791825339829055,7,Family,13
Fibrobacteraceae,0.4351695287566962,0.252087041079844,7,Family,13
Hungateiclostridiaceae,0.46485346576532566,0.22882588678152363,7,Family,13
Lachnospiraceae,0.468294407877232,0.30243824089519167,7,Family,13
Lactobacillaceae,0.6127891156462585,0.10522507823756344,3,Family,13
Methanobacteriaceae,0.43310760519538194,0.2783957604720247,7,Family,13
Methanomethylophilaceae,0.22649572649572647,NA,2,Family,13
Muribaculaceae,0.4572871335593079,0.28502909991242753,7,Family,13
Oligosphaeraceae,0.6974142066658844,0.135888505894185,4,Family,13
Oscillospiraceae,0.5241151601972324,0.29781547469360087,7,Family,13
Prevotellaceae,0.5056821435482945,0.28967964713196287,7,Family,13
Rikenellaceae,0.4753935306359039,0.27479827341148294,7,Family,13
Ruminococcaceae,0.4222230975210602,0.2942463627440508,7,Family,13
Selenomonadaceae,0.47912245620933175,0.2637959273415035,7,Family,13
Spirochaetaceae,0.46341191745326055,0.2768241637283695,7,Family,13
Succinivibrionaceae,0.5138938682388784,0.24230015054485304,7,Family,13
UCG-010,0.32853365169196375,0.29293128930454665,3,Family,13
Veillonellaceae,0.33927976859389025,0.3185455853439904,4,Family,13
p-251-o5,0.49749677311388346,0.27942823608654493,7,Family,13
vadinBE97,0.4801807680829858,0.277192359381308,7,Family,13
Acetitomaculum,0.5205131357823952,0.1797614695404218,6,Genus,13
Acetobacter,0.3861666172573886,0.13035412760776002,4,Genus,13
Alloprevotella,0.6126301822165306,0.06730691503840935,3,Genus,13
Anaeroplasma,0.3981488247459503,0.25457961861811135,7,Genus,13
Anaerovibrio,0.5875355821102853,0.08545216519506706,5,Genus,13
Anaerovorax,0.6827901012669875,0.05438068795668692,5,Genus,13
Atopobium,0.6513157894736843,NA,2,Genus,13
Bifidobacterium,0.3620898846754877,0.2635115696602247,5,Genus,13
Blautia,0.48701185663720237,0.042506754038415334,3,Genus,13
Butyrivibrio,0.4014356803457777,0.1880974706488041,7,Genus,13
CAG-352,0.44015865424186107,0.18480868790750568,6,Genus,13
Christensenellaceae_R-7_group,0.4229319250904275,0.23571101612503262,7,Genus,13
