from,PF_U,PF_U_sd,num_layers,unifrec_type,run
ASV_00001,0.25482892694184006,0.07268013661964866,5,d_1,328
ASV_00001,0.6787704915480142,0.12975586500390918,5,d_UW,328
ASV_00001,0.7586525404669517,0.10189645906830877,5,d_0,328
ASV_00001,0.49698683659845283,0.09698239314319221,5,d_0.5,328
ASV_00002,0.3087599452022769,0.13713640368624155,7,d_1,328
ASV_00002,0.625042408711262,0.1073377605100369,7,d_UW,328
ASV_00002,0.7280776185443171,0.10039788133069534,7,d_0,328
ASV_00002,0.5038833518346784,0.12871086955790242,7,d_0.5,328
ASV_00003,0.3242517996029918,0.10483555447994114,7,d_1,328
ASV_00003,0.660197188609857,0.11121621255700224,7,d_UW,328
ASV_00003,0.756603603733307,0.10134710482813677,7,d_0,328
ASV_00003,0.5322034135627167,0.10578128842615112,7,d_0.5,328
ASV_00004,0.35865219894486994,0.26650446032259517,7,d_1,328
ASV_00004,0.6401987989269974,0.1735507477482297,7,d_UW,328
ASV_00004,0.7271177697028688,0.15502138228553752,7,d_0,328
ASV_00004,0.5316198533631978,0.22553638092290426,7,d_0.5,328
ASV_00005,0.2726321821487966,0.10230252395395951,7,d_1,328
ASV_00005,0.632539698928418,0.10730717828385916,7,d_UW,328
ASV_00005,0.7242717874459216,0.0997546168397734,7,d_0,328
ASV_00005,0.47658955876005726,0.1062504412157385,7,d_0.5,328
ASV_00006,0.3781379937294968,0.2426125879396281,7,d_1,328
ASV_00006,0.6590402525093718,0.18585803301615833,7,d_UW,328
ASV_00006,0.7416159068050344,0.15409451388354325,7,d_0,328
ASV_00006,0.5546951336459838,0.22594987180171502,7,d_0.5,328
ASV_00007,0.3963526641254967,0.23291512970901515,7,d_1,328
ASV_00007,0.6825276530674915,0.168890485550742,7,d_UW,328
ASV_00007,0.7679430114409166,0.13901251915878546,7,d_0,328
ASV_00007,0.5800468780412483,0.2074346644627806,7,d_0.5,328
ASV_00008,0.2897482148668316,0.10600013237728795,7,d_1,328
