taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.4272345520761762,0.28819235107737795,6,Class,196
Alphaproteobacteria,0.3649473906491172,0.3021381174807248,6,Class,196
Bacilli,0.3759975097528019,0.2847590132077546,7,Class,196
Bacteroidia,0.5202464925682372,0.31564216477241297,7,Class,196
Clostridia,0.4733506538329687,0.3021429060091301,7,Class,196
Coriobacteriia,0.47714086131544053,0.2454444411670998,6,Class,196
Desulfovibrionia,0.5383576640355143,0.24105880953458597,6,Class,196
Fibrobacteria,0.47184143080340657,0.2674172228650467,7,Class,196
Gammaproteobacteria,0.5773595086579055,0.2631161638666317,7,Class,196
Gracilibacteria,0.4796164808754449,0.2594087218456935,7,Class,196
Kiritimatiellae,0.5283383279364096,0.3305188793483846,7,Class,196
Lentisphaeria,0.4552108995511515,0.32018993633986975,7,Class,196
MVP-15,0.8734177215189873,NA,2,Class,196
Methanobacteria,0.452563316663917,0.3031726948868228,7,Class,196
Negativicutes,0.48868697380950393,0.2834665273975592,7,Class,196
Spirochaetia,0.4773466360660823,0.2899464170413979,7,Class,196
Thermoplasmata,0.43410852713178294,NA,2,Class,196
Absconditabacteriales_(SR1),0.472630513542807,0.25110916116375676,7,Order,196
Acetobacterales,0.3527680220905777,0.18034253876397105,4,Order,196
Acholeplasmatales,0.3754161875668599,0.2689154708725933,7,Order,196
Acidaminococcales,0.4940357565137654,0.2708633148606707,7,Order,196
Aeromonadales,0.550415646086075,0.24276021219045918,7,Order,196
Bacteroidales,0.5160337126785037,0.31217741141722083,7,Order,196
Bifidobacteriales,0.42192588788958013,0.2827401061539975,6,Order,196
Burkholderiales,0.4274809160305344,NA,2,Order,196
Christensenellales,0.44636837989455697,0.27081673350947133,7,Order,196
Clostridia_UCG-014,0.47525892812118875,0.29564536641434425,7,Order,196
Clostridia_or,0.44610386715218986,0.2711799785140017,7,Order,196
Coriobacteriales,0.47261711132457124,0.2436912342701346,6,Order,196
Desulfovibrionales,0.5235888448992726,0.2301073073553891,6,Order,196
Eubacteriales,0.5759162303664922,NA,2,Order,196
Fibrobacterales,0.4648779360212093,0.2601830248969581,7,Order,196
Lachnospirales,0.4757219430269336,0.3066466728523736,7,Order,196
Lactobacillales,0.6913464502427213,0.09724143927321031,3,Order,196
Methanobacteriales,0.4482527225517088,0.29810874968066664,7,Order,196
Methanomassiliicoccales,0.4293193717277487,NA,2,Order,196
Oligosphaerales,0.7042857217204226,0.1064414583440246,4,Order,196
Oscillospirales,0.47334464371031193,0.3049707772800404,7,Order,196
Peptostreptococcales-Tissierellales,0.5523941293586578,0.2158299816120554,6,Order,196
