node_id,level1,level2,leaf_id,layer_id,flow,node_name,layer_name
1,1,4,58,1,3.04015e-4,ASV_00001,IT1
1,1,2,199,2,4.19721e-4,ASV_00001,IT2
1,1,4,507,3,1.5846e-5,ASV_00001,IT3
1,1,1,43,5,9.38857e-4,ASV_00001,UK1
1,1,3,548,6,1.0711e-4,ASV_00001,UK2
2,1,4,251,1,1.72878e-4,ASV_00002,IT1
2,1,2,404,2,2.92633e-4,ASV_00002,IT2
2,1,4,485,3,2.32503e-5,ASV_00002,IT3
2,3,51,NA,4,4.29804e-4,ASV_00002,FI1
2,1,1,86,5,8.92075e-4,ASV_00002,UK1
2,1,3,546,6,1.07647e-4,ASV_00002,UK2
2,2,214,NA,7,3.00369e-4,ASV_00002,SE1
3,1,4,204,1,1.9906e-4,ASV_00003,IT1
3,1,2,141,2,4.66995e-4,ASV_00003,IT2
3,1,4,349,3,5.54808e-5,ASV_00003,IT3
3,3,45,NA,4,4.38373e-4,ASV_00003,FI1
3,1,1,37,5,9.51027e-4,ASV_00003,UK1
3,1,3,265,6,1.77219e-4,ASV_00003,UK2
3,2,221,NA,7,2.94777e-4,ASV_00003,SE1
4,1,4,48,1,3.09313e-4,ASV_00004,IT1
4,1,2,558,2,1.28954e-4,ASV_00004,IT2
4,1,4,418,3,3.83346e-5,ASV_00004,IT3
4,3,3,NA,4,5.53524e-4,ASV_00004,FI1
4,1,1,463,5,4.36683e-4,ASV_00004,UK1
4,1,3,431,6,1.40644e-4,ASV_00004,UK2
4,2,382,NA,7,1.87217e-4,ASV_00004,SE1
5,1,4,213,1,1.94232e-4,ASV_00005,IT1
5,1,2,427,2,2.78032e-4,ASV_00005,IT2
5,1,4,398,3,4.16363e-5,ASV_00005,IT3
5,3,194,NA,4,2.84357e-4,ASV_00005,FI1
5,1,1,178,5,7.83991e-4,ASV_00005,UK1
5,1,3,235,6,1.85483e-4,ASV_00005,UK2
5,2,74,NA,7,4.20957e-4,ASV_00005,SE1
6,1,4,89,1,2.76745e-4,ASV_00006,IT1
6,1,2,478,2,2.35822e-4,ASV_00006,IT2
6,1,4,336,3,6.05547e-5,ASV_00006,IT3
6,3,243,NA,4,2.33039e-4,ASV_00006,FI1
6,1,1,469,5,4.15835e-4,ASV_00006,UK1
6,1,3,39,6,2.69489e-4,ASV_00006,UK2
6,2,394,NA,7,1.79215e-4,ASV_00006,SE1
7,1,4,272,1,1.53208e-4,ASV_00007,IT1
7,1,2,82,2,5.26452e-4,ASV_00007,IT2
7,1,4,331,3,6.23833e-5,ASV_00007,IT3
7,3,264,NA,4,2.05657e-4,ASV_00007,FI1
7,1,1,118,5,8.44028e-4,ASV_00007,UK1
7,1,3,46,6,2.64882e-4,ASV_00007,UK2
7,2,375,NA,7,1.94077e-4,ASV_00007,SE1
8,1,4,231,1,1.83382e-4,ASV_00008,IT1
8,1,2,517,2,2.0641e-4,ASV_00008,IT2
8,1,4,323,3,6.74296e-5,ASV_00008,IT3
8,3,248,NA,4,2.29415e-4,ASV_00008,FI1
8,1,1,228,5,7.41888e-4,ASV_00008,UK1
8,1,3,554,6,1.0559e-4,ASV_00008,UK2
8,2,59,NA,7,4.44457e-4,ASV_00008,SE1
9,1,4,207,1,1.98177e-4,ASV_00009,IT1
9,1,2,339,2,3.30816e-4,ASV_00009,IT2
9,1,4,476,3,2.61745e-5,ASV_00009,IT3
9,3,112,NA,4,3.67358e-4,ASV_00009,FI1
9,1,1,403,5,5.65686e-4,ASV_00009,UK1
9,1,3,308,6,1.68681e-4,ASV_00009,UK2
9,2,266,NA,7,2.75594e-4,ASV_00009,SE1
10,1,4,15,1,3.66225e-4,ASV_00010,IT1
10,1,2,224,2,4.07034e-4,ASV_00010,IT2
10,1,4,379,3,4.72161e-5,ASV_00010,IT3
