node_id,level1,level2,level3,leaf_id,layer_id,flow,node_name,layer_name
1,6,54,NA,NA,1,3.0294e-4,ASV_00001,IT1
1,2,200,NA,NA,2,4.20802e-4,ASV_00001,IT2
1,1,2,1,34,3,1.47539e-5,ASV_00001,IT3
1,1,1,43,NA,5,9.50639e-4,ASV_00001,UK1
1,4,552,NA,NA,6,1.02787e-4,ASV_00001,UK2
2,6,254,NA,NA,1,1.65066e-4,ASV_00002,IT1
2,2,414,NA,NA,2,2.86366e-4,ASV_00002,IT2
2,1,2,9,7,3,1.81464e-5,ASV_00002,IT3
2,5,51,NA,NA,4,4.26689e-4,ASV_00002,FI1
2,1,1,89,NA,5,8.9962e-4,ASV_00002,UK1
2,4,564,NA,NA,6,9.73551e-5,ASV_00002,UK2
2,3,223,NA,NA,7,2.94755e-4,ASV_00002,SE1
3,6,212,NA,NA,1,1.89904e-4,ASV_00003,IT1
3,2,147,NA,NA,2,4.65041e-4,ASV_00003,IT2
3,1,2,10,1,3,4.49226e-5,ASV_00003,IT3
3,5,48,NA,NA,4,4.3437e-4,ASV_00003,FI1
3,1,1,40,NA,5,9.585e-4,ASV_00003,UK1
3,4,296,NA,NA,6,1.6754e-4,ASV_00003,UK2
3,3,238,NA,NA,7,2.88027e-4,ASV_00003,SE1
4,6,50,NA,NA,1,3.06276e-4,ASV_00004,IT1
4,2,561,NA,NA,2,1.19882e-4,ASV_00004,IT2
4,1,2,11,3,3,3.26145e-5,ASV_00004,IT3
4,5,4,NA,NA,4,5.5355e-4,ASV_00004,FI1
4,1,1,463,NA,5,4.34295e-4,ASV_00004,UK1
4,4,448,NA,NA,6,1.34521e-4,ASV_00004,UK2
4,3,390,NA,NA,7,1.80208e-4,ASV_00004,SE1
5,6,218,NA,NA,1,1.87133e-4,ASV_00005,IT1
5,2,432,NA,NA,2,2.71075e-4,ASV_00005,IT2
5,1,2,1,27,3,3.28768e-5,ASV_00005,IT3
5,5,198,NA,NA,4,2.77745e-4,ASV_00005,FI1
5,1,1,180,NA,5,7.88654e-4,ASV_00005,UK1
5,4,246,NA,NA,6,1.80103e-4,ASV_00005,UK2
5,3,78,NA,NA,7,4.16825e-4,ASV_00005,SE1
6,6,94,NA,NA,1,2.69198e-4,ASV_00006,IT1
6,2,490,NA,NA,2,2.27456e-4,ASV_00006,IT2
6,1,2,11,1,3,5.20744e-5,ASV_00006,IT3
6,5,248,NA,NA,4,2.23979e-4,ASV_00006,FI1
6,1,1,472,NA,5,4.11696e-4,ASV_00006,UK1
6,4,50,NA,NA,6,2.61185e-4,ASV_00006,UK2
6,3,404,NA,NA,7,1.70143e-4,ASV_00006,SE1
7,6,276,NA,NA,1,1.43372e-4,ASV_00007,IT1
7,2,88,NA,NA,2,5.2585e-4,ASV_00007,IT2
