taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.39243733716120255,0.29416102091339313,6,Class,500
Alphaproteobacteria,0.3144504816898799,0.26337861788750255,6,Class,500
Bacilli,0.39531738640765374,0.28126904871895564,7,Class,500
Bacteroidia,0.5140234686324401,0.30650756412318997,7,Class,500
Clostridia,0.4665992968572598,0.2993407900311464,7,Class,500
Coriobacteriia,0.42165463459467417,0.2916642021831005,6,Class,500
Desulfovibrionia,0.5132701417658245,0.20199302542714315,6,Class,500
Fibrobacteria,0.4602695450078366,0.27641128715752966,7,Class,500
Gammaproteobacteria,0.5606946659572402,0.25072519717615327,7,Class,500
Gracilibacteria,0.46651625371489547,0.2507900368899157,7,Class,500
Kiritimatiellae,0.5356661762894828,0.3222858023579738,7,Class,500
Lentisphaeria,0.527081674252338,0.24318702308360107,7,Class,500
MVP-15,0.5294117647058824,NA,2,Class,500
Methanobacteria,0.4423906127762022,0.3032835251486131,7,Class,500
Negativicutes,0.502811589874877,0.2734764686559922,7,Class,500
Spirochaetia,0.47614833366710785,0.2926541938623916,7,Class,500
Thermoplasmata,0.147329650092081,NA,2,Class,500
Absconditabacteriales_(SR1),0.46187142019134547,0.2455390483099847,7,Order,500
Acetobacterales,0.3664970735152894,0.1995730978506785,4,Order,500
Acholeplasmatales,0.4102695660433701,0.27519513347927493,7,Order,500
Acidaminococcales,0.47595172306730493,0.25585922314265847,7,Order,500
Aeromonadales,0.5214269532032637,0.2242975091313296,7,Order,500
Bacteroidales,0.510471741190515,0.30287044475138103,7,Order,500
Bifidobacteriales,0.38309681198690587,0.288290563728438,6,Order,500
Burkholderiales,0.825,NA,2,Order,500
Christensenellales,0.4170576378816558,0.2644169923215273,7,Order,500
Clostridia_UCG-014,0.4486542210617652,0.2989692911340807,7,Order,500
Clostridia_or,0.43235133897037437,0.2642603270818552,7,Order,500
Coriobacteriales,0.41739507377186047,0.28630873539145824,6,Order,500
Desulfovibrionales,0.5041087359231619,0.19373269837826532,6,Order,500
Eubacteriales,0.7865168539325843,NA,2,Order,500
Fibrobacterales,0.4555410337161827,0.27198715818925695,7,Order,500
Lachnospirales,0.47229878026432137,0.30736023534924495,7,Order,500
Lactobacillales,0.486563222945026,0.24962854038479318,3,Order,500
Methanobacteriales,0.4380325948505289,0.29791834675225354,7,Order,500
Methanomassiliicoccales,0.14925373134328357,NA,2,Order,500
Oligosphaerales,0.7102415679185662,0.1099618870412998,4,Order,500
Oscillospirales,0.4919633324188108,0.2968279163611762,7,Order,500
Peptostreptococcales-Tissierellales,0.5727352495944904,0.20594336395563523,6,Order,500
Rhodospirillales,0.4053309677427152,0.28363044564774853,4,Order,500
