taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.40283216137660743,0.2867672253764874,6,Class,213
Alphaproteobacteria,0.2600033192096119,0.23200476985358456,6,Class,213
Bacilli,0.3796045963458517,0.31066788552182245,7,Class,213
Bacteroidia,0.5159689702960251,0.3074479602493959,7,Class,213
Clostridia,0.4650251949016247,0.2945949216919335,7,Class,213
Coriobacteriia,0.46565098260522925,0.30223355625013687,6,Class,213
Desulfovibrionia,0.601525475044202,0.23966023309511558,6,Class,213
Fibrobacteria,0.4354715307833366,0.273421692271582,7,Class,213
Gammaproteobacteria,0.5534838855946248,0.24181936284847103,7,Class,213
Gracilibacteria,0.44951554412841527,0.2484364646354007,7,Class,213
Kiritimatiellae,0.5500853076275611,0.3350155088975456,7,Class,213
Lentisphaeria,0.3490626736496584,0.30124420532667395,7,Class,213
MVP-15,0.8166666666666667,NA,2,Class,213
Methanobacteria,0.4219956144293197,0.2908716172949686,7,Class,213
Negativicutes,0.502753483156779,0.279926131833556,7,Class,213
Spirochaetia,0.4769820442014208,0.27122589077347387,7,Class,213
Thermoplasmata,0.2913669064748201,NA,2,Class,213
Absconditabacteriales_(SR1),0.44243300876633623,0.24134424615720518,7,Order,213
Acetobacterales,0.3138283588071686,0.24384611045021928,4,Order,213
Acholeplasmatales,0.38431592818386356,0.2987188505084892,7,Order,213
Acidaminococcales,0.5025750470286109,0.28696166953549307,7,Order,213
Aeromonadales,0.5423576455564619,0.24005264849598876,7,Order,213
Bacteroidales,0.512371867868668,0.3040983237338242,7,Order,213
Bifidobacteriales,0.39763967185624133,0.27973129998520196,6,Order,213
Burkholderiales,0.6424242424242423,NA,2,Order,213
Christensenellales,0.41128733826583286,0.28720964669012855,7,Order,213
Clostridia_UCG-014,0.4640479559911747,0.28082619734519315,7,Order,213
Clostridia_or,0.3802069001758453,0.25548995006607256,7,Order,213
Coriobacteriales,0.4618918851122726,0.29982596688700014,6,Order,213
Desulfovibrionales,0.5845045978255982,0.22538368733819616,6,Order,213
Eubacteriales,0.6326530612244898,NA,2,Order,213
Fibrobacterales,0.43093694937593063,0.2690634640770859,7,Order,213
Lachnospirales,0.4714271908567027,0.29205107417107234,7,Order,213
Lactobacillales,0.5481618993765716,0.1391742996008972,3,Order,213
Methanobacteriales,0.4164786741711972,0.28387000031298476,7,Order,213
Methanomassiliicoccales,0.2893309222423146,NA,2,Order,213
Oligosphaerales,0.6953847482918297,0.1780043528756174,4,Order,213
Oscillospirales,0.48911313878915835,0.3092342927664245,7,Order,213
Peptostreptococcales-Tissierellales,0.5204964032952886,0.2117376379410449,6,Order,213
Rhodospirillales,0.3644771732943372,0.2470051196872705,4,Order,213
Spirochaetales,0.47438835306022775,0.26835828549629753,7,Order,213
Veillonellales-Selenomonadales,0.48458435145576184,0.2654049561294473,7,Order,213
Victivallales,0.41512591082888833,0.26884564936179806,7,Order,213
WCHB1-41,0.5444500586949284,0.3289890682990557,7,Order,213
Acetobacteraceae,0.28131645387910875,0.21622586121134788,4,Family,213
Acholeplasmataceae,0.3827170187891211,0.2912431723626551,7,Family,213
Acidaminococcaceae,0.492702614571613,0.2778600540834004,7,Family,213
Anaerovoracaceae,0.515480928063135,0.2108054284653986,6,Family,213
Atopobiaceae,0.4830050619138874,0.2840875962674839,6,Family,213
Bacteroidales_BS11_gut_group,0.49988398665209577,0.297020357530034,7,Family,213
Bacteroidales_RF16_group,0.4533667534873791,0.251262575648023,7,Family,213
Bacteroidales_UCG-001,0.33032762007983707,0.2527747224150287,4,Family,213
Bifidobacteriaceae,0.38644717323903566,0.2664121458402055,6,Family,213
Christensenellaceae,0.4055471637601707,0.27746326211332345,7,Family,213
Defluviitaleaceae,0.5280886548172246,0.17235960313613546,5,Family,213
Desulfovibrionaceae,0.5487799740627491,0.19926412886422729,6,Family,213
Eggerthellaceae,0.3493975903614458,NA,2,Family,213
Eubacteriaceae,0.5810055865921788,NA,2,Family,213
F082,0.44868055389773503,0.2674272683066715,7,Family,213
Fibrobacteraceae,0.4270469152098566,0.2656368032371946,7,Family,213
Hungateiclostridiaceae,0.37588583814023807,0.24903447906756532,7,Family,213
Lachnospiraceae,0.46484533486940943,0.2861075874069638,7,Family,213
Lactobacillaceae,0.5488467021359232,0.1347390782412059,3,Family,213
Methanobacteriaceae,0.4115207373750581,0.27563745058249245,7,Family,213
Methanomethylophilaceae,0.30081300813008127,NA,2,Family,213
Muribaculaceae,0.4455013943346311,0.2865233986424941,7,Family,213
Oligosphaeraceae,0.6845578724202079,0.172272907980812,4,Family,213
Oscillospiraceae,0.5310260335704914,0.301351047469533,7,Family,213
Prevotellaceae,0.5090301135955235,0.2959322025676472,7,Family,213
Rikenellaceae,0.4962909156309984,0.2891994024316653,7,Family,213
Ruminococcaceae,0.4278209614421618,0.3033428922188834,7,Family,213
Selenomonadaceae,0.46336318524098996,0.2620699240149459,7,Family,213
Spirochaetaceae,0.46794367236754864,0.26034396042131736,7,Family,213
Succinivibrionaceae,0.5252223664743635,0.22529800980100032,7,Family,213
UCG-010,0.3418420320135657,0.32905375159541406,3,Family,213
Veillonellaceae,0.4515052848317555,0.34073978243129743,4,Family,213
p-251-o5,0.49019660668144466,0.2420700507264516,7,Family,213
vadinBE97,0.39652171409976456,0.2645181694991929,7,Family,213
Acetitomaculum,0.5068036524472741,0.17762637656513405,6,Genus,213
Acetobacter,0.263641012303803,0.18117175022202014,4,Genus,213
Alloprevotella,0.2179794842838321,0.152182822781121,3,Genus,213
Anaeroplasma,0.3770789055714714,0.28072750800219753,7,Genus,213
Anaerovibrio,0.578843772041373,0.12388694516778737,5,Genus,213
Anaerovorax,0.5044615254953061,0.150686067004153,5,Genus,213
Atopobium,0.6543778801843319,NA,2,Genus,213
Bifidobacterium,0.28992503581813606,0.23989797116496844,5,Genus,213
Blautia,0.5595908037096696,0.075182908321119,3,Genus,213
Butyrivibrio,0.4552647825572131,0.22158561328268817,7,Genus,213
CAG-352,0.4429541989041154,0.17844156994015484,6,Genus,213
Christensenellaceae_R-7_group,0.38077458632507993,0.26143893988560213,7,Genus,213
Colidextribacter,0.36668074324324323,0.1861043970170864,3,Genus,213
Coprococcus,0.3912125301280536,0.21302559778618044,5,Genus,213
DNF00809,0.3939393939393939,NA,2,Genus,213
Defluviitaleaceae_UCG-011,0.4706866608300589,0.15550795142874957,5,Genus,213
Desulfovibrio,0.5183316270956869,0.18262500550498156,6,Genus,213
Dialister,0.40177147519396417,0.2449397505155088,4,Genus,213
Eubacterium,0.5064935064935066,NA,2,Genus,213
Family_XIII_AD3011_group,0.5121747561782956,0.23124899477756125,4,Genus,213
Fibrobacter,0.41292577406592984,0.2496121590589936,7,Genus,213
Lachnoclostridium,0.5308102681762438,0.16075519741275893,5,Genus,213
Lachnospira,0.6408331040713524,0.09413242155429533,4,Genus,213
Lachnospiraceae_AC2044_group,0.41177036317095184,0.20368605932731348,7,Genus,213
Lachnospiraceae_ND3007_group,0.5204947340381522,0.16423627209769098,4,Genus,213
Lachnospiraceae_NK3A20_group,0.4360007007910179,0.2899631971909498,7,Genus,213
Lachnospiraceae_NK4A136_group,0.3289906615628886,0.22388810304295237,7,Genus,213
Lachnospiraceae_UCG-009,0.5326185041977523,0.11796460169442718,5,Genus,213
Lachnospiraceae_XPB1014_group,0.5540133098697797,0.1162550855419809,6,Genus,213
Lactobacillus,0.490786515918791,0.12194337792096195,3,Genus,213
Marvinbryantia,0.6738351254480286,NA,2,Genus,213
Methanobrevibacter,0.4123645065045908,0.2648174850406679,7,Genus,213
Methanosphaera,0.42183857936979285,0.15130861611943672,5,Genus,213
Mogibacterium,0.437593160832589,0.19724807329649466,5,Genus,213
Moryella,0.614747919424021,0.07835106213424901,6,Genus,213
NK4A214_group,0.49948261041985953,0.2772835206425313,7,Genus,213
Olsenella,0.45467033873308194,0.20393313625272944,6,Genus,213
Oribacterium,0.3144439022408194,0.24921354912203603,5,Genus,213
Prevotella,0.49357769545400554,0.2884312199575865,7,Genus,213
Prevotellaceae_Ga6A1_group,0.3638344548973424,0.18515754817936056,7,Genus,213
Prevotellaceae_NK3B31_group,0.4247357434735405,0.274421093671082,7,Genus,213
Prevotellaceae_UCG-001,0.47620082135345854,0.2859361411345252,7,Genus,213
Prevotellaceae_UCG-003,0.49638384087810244,0.2804143392715496,7,Genus,213
Prevotellaceae_UCG-004,0.4566670412951798,0.20354857237846763,7,Genus,213
Prevotellaceae_YAB2003_group,0.39894461737623227,0.2422567790152853,7,Genus,213
Pseudobutyrivibrio,0.4943114754538743,0.18559981369550901,7,Genus,213
Pseudoscardovia,0.703030303030303,NA,2,Genus,213
Rikenellaceae_RC9_gut_group,0.48220969260464,0.2723748249081781,7,Genus,213
Ruminobacter,0.4623048915460792,0.19478526209547856,7,Genus,213
Ruminococcus,0.43272952783688584,0.2962159294603798,7,Genus,213
Saccharofermentans,0.35329403321536723,0.23970215085198635,7,Genus,213
Selenomonas,0.41345179175907176,0.1777267427418113,7,Genus,213
Shuttleworthia,0.40541503355107966,0.22374943046730317,5,Genus,213
Succiniclasticum,0.4644086127063757,0.2531946911568137,7,Genus,213
Succinimonas,0.3990978856005793,0.2151721199835333,6,Genus,213
Succinivibrio,0.44391216258745825,0.20146906885095048,7,Genus,213
Succinivibrionaceae_UCG-001,0.2734040705495571,0.20269077721483908,5,Genus,213
Succinivibrionaceae_UCG-002,0.3932450417022664,0.15871306547369327,7,Genus,213
Syntrophococcus,0.45040587243740055,0.15497922667285868,3,Genus,213
Treponema,0.45516353253293845,0.24660454539049736,7,Genus,213
Tyzzerella,0.544,NA,2,Genus,213
U29-B03,0.6086956521739131,NA,2,Genus,213
UCG-005,0.4714926137738543,0.24351125981198296,7,Genus,213
Veillonellaceae_UCG-001,0.42452830188679247,NA,2,Genus,213
Z20,0.5976496221585427,0.04336183677868759,3,Genus,213
horsej-a03,0.6447183766329491,0.0941086989176633,3,Genus,213
probable_genus_10,0.5657163347157922,0.11001041064096098,5,Genus,213
