taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.42214201385159555,0.27328461733451304,6,Class,6
Alphaproteobacteria,0.30639966501980964,0.2535294286039705,6,Class,6
Bacilli,0.4103934794346729,0.31089388835388876,7,Class,6
Bacteroidia,0.520910918771395,0.31384053380372334,7,Class,6
Clostridia,0.4664141380121047,0.2942000860600729,7,Class,6
Coriobacteriia,0.39923587150384715,0.2865341339783183,6,Class,6
Desulfovibrionia,0.6252660425135661,0.1666727589530605,6,Class,6
Fibrobacteria,0.44562071022492034,0.2832191894155074,7,Class,6
Gammaproteobacteria,0.5937518742342824,0.2641019869778004,7,Class,6
Gracilibacteria,0.42506308206548515,0.2674073241518043,7,Class,6
Kiritimatiellae,0.569611300666826,0.320012151463894,7,Class,6
Lentisphaeria,0.41194612798548547,0.2672600040588478,7,Class,6
MVP-15,0.7808219178082192,NA,2,Class,6
Methanobacteria,0.4440504673453331,0.29943632885472504,7,Class,6
Negativicutes,0.5392470130535992,0.2728378768539745,7,Class,6
Spirochaetia,0.484272317326636,0.2726553585528045,7,Class,6
Thermoplasmata,0.26431718061674003,NA,2,Class,6
Absconditabacteriales_(SR1),0.41854902349620793,0.26177522739043263,7,Order,6
Acetobacterales,0.3353344771792807,0.2338774538854322,4,Order,6
Acholeplasmatales,0.4094142576776523,0.2987655889915669,7,Order,6
Acidaminococcales,0.5195708060837687,0.23482325962454584,7,Order,6
Aeromonadales,0.5757646641732719,0.2528196643650862,7,Order,6
Bacteroidales,0.5170976141151198,0.3108980343087743,7,Order,6
Bifidobacteriales,0.41470252617010556,0.26276938516876486,6,Order,6
Burkholderiales,0.48351648351648346,NA,2,Order,6
Christensenellales,0.4276243733907967,0.287108957277074,7,Order,6
Clostridia_UCG-014,0.4439794243862794,0.29292378945193265,7,Order,6
Clostridia_or,0.4036232393425515,0.2594674352678568,7,Order,6
Coriobacteriales,0.392165177451024,0.27805450063461146,6,Order,6
Desulfovibrionales,0.6143446451413406,0.15825831818089608,6,Order,6
Eubacteriales,0.7692307692307692,NA,2,Order,6
Fibrobacterales,0.44170207910280773,0.27938820894321564,7,Order,6
Lachnospirales,0.47819346842658983,0.2927981750514925,7,Order,6
Lactobacillales,0.6598833265499932,0.0971004826620927,3,Order,6
Methanobacteriales,0.4394158636834242,0.294164809910281,7,Order,6
Methanomassiliicoccales,0.26222222222222225,NA,2,Order,6
Oligosphaerales,0.5389637154232354,0.2195001568057242,4,Order,6
Oscillospirales,0.4668271516352952,0.294515591992616,7,Order,6
Peptostreptococcales-Tissierellales,0.6012307108988013,0.20361327762267994,6,Order,6
Rhodospirillales,0.4291411822642161,0.24489951745182292,4,Order,6
Spirochaetales,0.4808483046682499,0.26792911047047185,7,Order,6
Veillonellales-Selenomonadales,0.5439945957364084,0.30778842370919185,7,Order,6
Victivallales,0.5282518408610463,0.23390588355684702,7,Order,6
