from,to,weight,edge_type,level,level_name
ASV_00001,ASV_00004,0.5277777777777778,pos,Farm,IT3
ASV_00001,ASV_00056,0.5882352941176471,pos,Farm,IT3
ASV_00001,ASV_00079,0.5789473684210527,pos,Farm,IT3
ASV_00001,ASV_00140,0.4857142857142857,pos,Farm,IT3
ASV_00001,ASV_00227,0.5277777777777778,pos,Farm,IT3
ASV_00001,ASV_00354,0.6756756756756757,pos,Farm,IT3
ASV_00001,ASV_00399,0.5945945945945946,pos,Farm,IT3
ASV_00001,ASV_00550,0.5,pos,Farm,IT3
ASV_00001,ASV_00843,0.4857142857142857,pos,Farm,IT3
ASV_00002,ASV_00044,0.5675675675675675,pos,Farm,IT3
ASV_00002,ASV_00068,0.65,pos,Farm,IT3
ASV_00002,ASV_00084,0.5675675675675675,pos,Farm,IT3
ASV_00002,ASV_00087,0.5675675675675675,pos,Farm,IT3
ASV_00002,ASV_00116,0.5945945945945946,pos,Farm,IT3
ASV_00002,ASV_00129,0.6666666666666666,pos,Farm,IT3
ASV_00002,ASV_00130,0.5277777777777778,pos,Farm,IT3
ASV_00002,ASV_00157,0.631578947368421,pos,Farm,IT3
ASV_00002,ASV_00177,0.5428571428571428,pos,Farm,IT3
ASV_00002,ASV_00188,0.5277777777777778,pos,Farm,IT3
ASV_00002,ASV_00232,0.5833333333333334,pos,Farm,IT3
ASV_00002,ASV_00345,0.5789473684210527,pos,Farm,IT3
ASV_00002,ASV_00404,0.6052631578947368,pos,Farm,IT3
ASV_00003,ASV_00007,0.5588235294117647,pos,Farm,IT3
ASV_00003,ASV_00046,0.5675675675675675,pos,Farm,IT3
ASV_00003,ASV_00062,0.5789473684210527,pos,Farm,IT3
ASV_00003,ASV_00069,0.5714285714285714,pos,Farm,IT3
ASV_00003,ASV_00083,0.5833333333333334,pos,Farm,IT3
ASV_00003,ASV_00090,0.53125,pos,Farm,IT3
ASV_00003,ASV_00098,0.46875,pos,Farm,IT3
ASV_00003,ASV_00136,0.5142857142857142,pos,Farm,IT3
ASV_00003,ASV_00141,0.5151515151515151,pos,Farm,IT3
ASV_00003,ASV_00147,0.6363636363636364,pos,Farm,IT3
ASV_00003,ASV_00151,0.5142857142857142,pos,Farm,IT3
ASV_00003,ASV_00185,0.5882352941176471,pos,Farm,IT3
ASV_00003,ASV_00447,0.6470588235294118,pos,Farm,IT3
ASV_00003,ASV_00572,0.5714285714285714,pos,Farm,IT3
ASV_00004,ASV_00011,0.5,pos,Farm,IT3
ASV_00004,ASV_00015,0.5294117647058824,pos,Farm,IT3
ASV_00004,ASV_00017,0.6176470588235294,pos,Farm,IT3
ASV_00004,ASV_00024,0.5757575757575758,pos,Farm,IT3
ASV_00004,ASV_00035,0.5277777777777778,pos,Farm,IT3
ASV_00004,ASV_00053,0.5405405405405406,pos,Farm,IT3
ASV_00004,ASV_00057,0.5277777777777778,pos,Farm,IT3
ASV_00004,ASV_00064,0.5555555555555556,pos,Farm,IT3
ASV_00004,ASV_00086,0.5526315789473685,pos,Farm,IT3
ASV_00004,ASV_00128,0.5,pos,Farm,IT3
ASV_00004,ASV_00162,0.5833333333333334,pos,Farm,IT3
ASV_00004,ASV_00186,0.5,pos,Farm,IT3
ASV_00004,ASV_00200,0.5666666666666667,pos,Farm,IT3
ASV_00004,ASV_00233,0.5428571428571428,pos,Farm,IT3
ASV_00004,ASV_00250,0.48484848484848486,pos,Farm,IT3
