node_id,level1,leaf_id,layer_id,flow,node_name,layer_name
1,1,1963,1,2.08885e-4,ASV_00001,IT1
1,1,2183,2,1.81868e-4,ASV_00001,IT2
1,1,2745,3,8.58823e-5,ASV_00001,IT3
1,1,140,5,8.16098e-4,ASV_00001,UK1
1,1,2196,6,1.79884e-4,ASV_00001,UK2
2,1,2224,1,1.77585e-4,ASV_00002,IT1
2,1,759,2,4.42904e-4,ASV_00002,IT2
2,1,2829,3,5.5881e-5,ASV_00002,IT3
2,1,1165,4,3.3474e-4,ASV_00002,FI1
2,1,55,5,9.09857e-4,ASV_00002,UK1
2,1,2614,6,1.18382e-4,ASV_00002,UK2
2,1,2140,7,1.87282e-4,ASV_00002,SE1
3,1,904,1,3.95919e-4,ASV_00003,IT1
3,1,2194,2,1.8005e-4,ASV_00003,IT2
3,1,2890,3,4.08573e-5,ASV_00003,IT3
3,1,2538,4,1.35358e-4,ASV_00003,FI1
3,1,102,5,8.50289e-4,ASV_00003,UK1
3,1,2257,6,1.74425e-4,ASV_00003,UK2
3,1,1247,7,3.18156e-4,ASV_00003,SE1
4,1,2332,1,1.6417e-4,ASV_00004,IT1
4,1,1021,2,3.67915e-4,ASV_00004,IT2
4,1,2814,3,5.93567e-5,ASV_00004,IT3
4,1,1206,4,3.25271e-4,ASV_00004,FI1
4,1,66,5,8.94931e-4,ASV_00004,UK1
4,1,2659,6,1.10088e-4,ASV_00004,UK2
4,1,2187,7,1.81453e-4,ASV_00004,SE1
5,1,2232,1,1.76599e-4,ASV_00005,IT1
5,1,940,2,3.88633e-4,ASV_00005,IT2
5,1,2886,3,4.20152e-5,ASV_00005,IT3
5,1,1400,4,2.89692e-4,ASV_00005,FI1
5,1,336,5,6.55111e-4,ASV_00005,UK1
5,1,1843,6,2.24355e-4,ASV_00005,UK2
5,1,2315,7,1.66702e-4,ASV_00005,SE1
6,1,2174,1,1.83245e-4,ASV_00006,IT1
6,1,661,2,4.77105e-4,ASV_00006,IT2
6,1,2893,3,3.97409e-5,ASV_00006,IT3
6,1,1202,4,3.25647e-4,ASV_00006,FI1
6,1,200,5,7.61658e-4,ASV_00006,UK1
6,1,2630,6,1.15455e-4,ASV_00006,UK2
6,1,1945,7,2.10686e-4,ASV_00006,SE1
7,1,1284,1,3.12295e-4,ASV_00007,IT1
7,1,431,2,5.90894e-4,ASV_00007,IT2
7,1,2915,3,3.54488e-5,ASV_00007,IT3
7,1,645,4,4.83003e-4,ASV_00007,FI1
7,1,300,5,6.85889e-4,ASV_00007,UK1
7,1,2550,6,1.33293e-4,ASV_00007,UK2
7,1,1150,7,3.37601e-4,ASV_00007,SE1
8,1,2642,1,1.1292e-4,ASV_00008,IT1
8,1,737,2,4.50129e-4,ASV_00008,IT2
8,1,2785,3,7.1562e-5,ASV_00008,IT3
8,1,835,4,4.16097e-4,ASV_00008,FI1
8,1,103,5,8.48731e-4,ASV_00008,UK1
8,1,1382,6,2.9406e-4,ASV_00008,UK2
8,1,1599,7,2.57899e-4,ASV_00008,SE1
9,1,1425,1,2.84861e-4,ASV_00009,IT1
9,1,2326,2,1.65241e-4,ASV_00009,IT2
9,1,2928,3,3.19284e-5,ASV_00009,IT3
9,1,551,4,5.20936e-4,ASV_00009,FI1
9,1,343,5,6.52711e-4,ASV_00009,UK1
9,1,2316,6,1.66647e-4,ASV_00009,UK2
9,1,1094,7,3.5004e-4,ASV_00009,SE1
10,1,1661,1,2.49381e-4,ASV_00010,IT1
10,1,1001,2,3.7166e-4,ASV_00010,IT2
10,1,2942,3,2.94482e-5,ASV_00010,IT3
10,1,2181,4,1.825e-4,ASV_00010,FI1
10,1,189,5,7.67728e-4,ASV_00010,UK1
10,1,1958,6,2.09529e-4,ASV_00010,UK2
10,1,1499,7,2.72779e-4,ASV_00010,SE1
11,1,1920,1,2.13621e-4,ASV_00011,IT1
11,1,1157,2,3.36239e-4,ASV_00011,IT2
11,1,2845,3,5.03713e-5,ASV_00011,IT3
11,1,1312,4,3.06524e-4,ASV_00011,FI1
11,1,146,5,8.06782e-4,ASV_00011,UK1
11,1,2635,6,1.14581e-4,ASV_00011,UK2
11,1,2239,7,1.75847e-4,ASV_00011,SE1
12,1,1855,1,2.23698e-4,ASV_00012,IT1
12,1,320,2,6.705e-4,ASV_00012,IT2
12,1,793,4,4.28207e-4,ASV_00012,FI1
12,1,350,5,6.49408e-4,ASV_00012,UK1
12,1,2275,6,1.70955e-4,ASV_00012,UK2
12,1,2505,7,1.39965e-4,ASV_00012,SE1
13,1,1720,1,2.42332e-4,ASV_00013,IT1
13,1,1007,2,3.70063e-4,ASV_00013,IT2
13,1,2709,3,9.71552e-5,ASV_00013,IT3
13,1,1093,4,3.50245e-4,ASV_00013,FI1
13,1,183,5,7.71321e-4,ASV_00013,UK1
13,1,1871,6,2.21532e-4,ASV_00013,UK2
13,1,768,7,4.38619e-4,ASV_00013,SE1
14,1,2643,1,1.12575e-4,ASV_00014,IT1
14,1,716,2,4.56751e-4,ASV_00014,IT2
14,1,2960,3,2.53882e-5,ASV_00014,IT3
14,1,1807,4,2.30352e-4,ASV_00014,FI1
14,1,45,5,9.46759e-4,ASV_00014,UK1
14,1,2109,6,1.90269e-4,ASV_00014,UK2
14,1,1351,7,2.99159e-4,ASV_00014,SE1
15,1,1250,1,3.17734e-4,ASV_00015,IT1
15,1,1271,2,3.1495e-4,ASV_00015,IT2
15,1,2996,3,9.94051e-6,ASV_00015,IT3
15,1,662,4,4.7679e-4,ASV_00015,FI1
15,1,126,5,8.27998e-4,ASV_00015,UK1
15,1,2331,6,1.64285e-4,ASV_00015,UK2
15,1,1433,7,2.83524e-4,ASV_00015,SE1
16,1,2086,2,1.93976e-4,ASV_00016,IT2
16,1,2869,3,4.47385e-5,ASV_00016,IT3
16,1,1348,4,2.99299e-4,ASV_00016,FI1
16,1,137,5,8.1731e-4,ASV_00016,UK1
16,1,2096,6,1.91694e-4,ASV_00016,UK2
16,1,1060,7,3.5729e-4,ASV_00016,SE1
17,1,1650,1,2.50363e-4,ASV_00017,IT1
17,1,796,2,4.27126e-4,ASV_00017,IT2
17,1,2864,3,4.65428e-5,ASV_00017,IT3
17,1,275,5,7.05501e-4,ASV_00017,UK1
17,1,2401,6,1.54689e-4,ASV_00017,UK2
18,1,1392,1,2.90755e-4,ASV_00018,IT1
18,1,2061,2,1.96167e-4,ASV_00018,IT2
18,1,1186,4,3.31184e-4,ASV_00018,FI1
18,1,89,5,8.66355e-4,ASV_00018,UK1
18,1,2288,6,1.68989e-4,ASV_00018,UK2
18,1,2463,7,1.46152e-4,ASV_00018,SE1
19,1,1586,1,2.59819e-4,ASV_00019,IT1
19,1,899,2,3.96696e-4,ASV_00019,IT2
19,1,2862,3,4.71944e-5,ASV_00019,IT3
19,1,2376,4,1.58511e-4,ASV_00019,FI1
19,1,81,5,8.79165e-4,ASV_00019,UK1
19,1,1581,6,2.60976e-4,ASV_00019,UK2
19,1,1461,7,2.7778e-4,ASV_00019,SE1
20,1,1380,1,2.94273e-4,ASV_00020,IT1
20,1,1636,2,2.52304e-4,ASV_00020,IT2
20,1,2841,3,5.19425e-5,ASV_00020,IT3
20,1,2487,4,1.43272e-4,ASV_00020,FI1
20,1,161,5,7.96661e-4,ASV_00020,UK1
20,1,2221,6,1.77784e-4,ASV_00020,UK2
20,1,1838,7,2.24841e-4,ASV_00020,SE1
21,1,1428,2,2.84382e-4,ASV_00021,IT2
21,1,2834,3,5.38461e-5,ASV_00021,IT3
21,1,1190,4,3.30555e-4,ASV_00021,FI1
21,1,540,5,5.26628e-4,ASV_00021,UK1
21,1,2500,6,1.40677e-4,ASV_00021,UK2
21,1,905,7,3.95892e-4,ASV_00021,SE1
22,1,2335,1,1.63742e-4,ASV_00022,IT1
22,1,312,2,6.77928e-4,ASV_00022,IT2
22,1,2835,3,5.36912e-5,ASV_00022,IT3
22,1,785,4,4.32578e-4,ASV_00022,FI1
22,1,12,5,0.00103439,ASV_00022,UK1
22,1,2074,6,1.9492e-4,ASV_00022,UK2
22,1,2296,7,1.68139e-4,ASV_00022,SE1
23,1,2149,1,1.85464e-4,ASV_00023,IT1
23,1,530,2,5.31754e-4,ASV_00023,IT2
23,1,2793,3,6.82535e-5,ASV_00023,IT3
23,1,1122,4,3.42341e-4,ASV_00023,FI1
23,1,239,5,7.33665e-4,ASV_00023,UK1
23,1,2504,6,1.4e-4,ASV_00023,UK2
23,1,369,7,6.32207e-4,ASV_00023,SE1
24,1,1602,1,2.576e-4,ASV_00024,IT1
24,1,828,2,4.18616e-4,ASV_00024,IT2
24,1,2947,3,2.76464e-5,ASV_00024,IT3
24,1,2050,4,1.98107e-4,ASV_00024,FI1
24,1,635,5,4.86197e-4,ASV_00024,UK1
24,1,2657,6,1.10422e-4,ASV_00024,UK2
24,1,777,7,4.35541e-4,ASV_00024,SE1
25,1,2286,1,1.69184e-4,ASV_00025,IT1
25,1,488,2,5.56497e-4,ASV_00025,IT2
25,1,2933,3,3.14462e-5,ASV_00025,IT3
25,1,33,5,9.69461e-4,ASV_00025,UK1
26,1,1034,1,3.64388e-4,ASV_00026,IT1
26,1,712,2,4.57923e-4,ASV_00026,IT2
26,1,2847,3,5.02208e-5,ASV_00026,IT3
26,1,1533,4,2.67375e-4,ASV_00026,FI1
26,1,109,5,8.45901e-4,ASV_00026,UK1
