taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.45823615553063035,0.2821119949409454,6,Class,120
Alphaproteobacteria,0.3034908698042533,0.22649901624293875,6,Class,120
Bacilli,0.39118284820748345,0.28404723014062155,7,Class,120
Bacteroidia,0.5191888968790179,0.3085308363725945,7,Class,120
Clostridia,0.45899362794703163,0.3004033297193213,7,Class,120
Coriobacteriia,0.5126278863263928,0.22775507705746123,6,Class,120
Desulfovibrionia,0.5792225523193801,0.25064698690932824,6,Class,120
Fibrobacteria,0.4435391022496122,0.2722905965860629,7,Class,120
Gammaproteobacteria,0.5578571932466383,0.28325108353034084,7,Class,120
Gracilibacteria,0.4967818583952765,0.26910257354331063,7,Class,120
Kiritimatiellae,0.5043730693761805,0.30632940349622195,7,Class,120
Lentisphaeria,0.415436494418802,0.23622645133679404,7,Class,120
MVP-15,0.6950354609929078,NA,2,Class,120
Methanobacteria,0.4320496365180873,0.30028203621262783,7,Class,120
Negativicutes,0.4926472160118526,0.24676309037937127,7,Class,120
Spirochaetia,0.46687516681721697,0.2697256293631181,7,Class,120
Thermoplasmata,0.315112540192926,NA,2,Class,120
Absconditabacteriales_(SR1),0.48900000334389987,0.26353365546048874,7,Order,120
Acetobacterales,0.3841603764219286,0.2538678735702463,4,Order,120
Acholeplasmatales,0.4030674270999918,0.2802807275905637,7,Order,120
Acidaminococcales,0.44004859140717656,0.24510792373421975,7,Order,120
Aeromonadales,0.5282642464055572,0.2610531650233314,7,Order,120
Bacteroidales,0.5148492611958554,0.3049155076766135,7,Order,120
Bifidobacteriales,0.4541644849377116,0.2759489459017453,6,Order,120
Burkholderiales,0.6808510638297872,NA,2,Order,120
Christensenellales,0.4488798026351579,0.31941918452945123,7,Order,120
Clostridia_UCG-014,0.4460807825986651,0.2884809428846163,7,Order,120
Clostridia_or,0.42520104768965045,0.28397227477949777,7,Order,120
Coriobacteriales,0.5043671388000557,0.2192015359884506,6,Order,120
Desulfovibrionales,0.563024155560851,0.23221604782752098,6,Order,120
Eubacteriales,0.5326633165829145,NA,2,Order,120
Fibrobacterales,0.44017540625504037,0.26824859951006363,7,Order,120
Lachnospirales,0.4586755291317321,0.29844132233794884,7,Order,120
Lactobacillales,0.4293290043290043,0.19756602442723636,3,Order,120
Methanobacteriales,0.42830863464103497,0.29564426125777576,7,Order,120
Methanomassiliicoccales,0.31715210355987056,NA,2,Order,120
Oligosphaerales,0.6083576380763701,0.22031300852235974,4,Order,120
Oscillospirales,0.47237537525782364,0.2989336429723249,7,Order,120
Peptostreptococcales-Tissierellales,0.516353138239593,0.21391458542730163,6,Order,120
Rhodospirillales,0.4751832294205246,0.20159914843909116,4,Order,120
Spirochaetales,0.46286739985560627,0.2669914002579652,7,Order,120
Veillonellales-Selenomonadales,0.49257559162305287,0.23092065333196066,7,Order,120
Victivallales,0.516448723190647,0.21023139790293582,7,Order,120
WCHB1-41,0.499683013000926,0.30141312040371987,7,Order,120
Acetobacteraceae,0.320097339618634,0.20658633957555012,4,Family,120
Acholeplasmataceae,0.385732986135767,0.27349840650230345,7,Family,120
Acidaminococcaceae,0.4321748522914057,0.23112625634482664,7,Family,120
Anaerovoracaceae,0.5025342995061775,0.19451901069678915,6,Family,120
Atopobiaceae,0.5445640231192755,0.20175074555065678,6,Family,120
Bacteroidales_BS11_gut_group,0.49106967390123296,0.3278036710120474,7,Family,120
Bacteroidales_RF16_group,0.4706551682432321,0.25833641687236214,7,Family,120
Bacteroidales_UCG-001,0.3568546404226211,0.2561468956005832,4,Family,120
Bifidobacteriaceae,0.4416325828080155,0.27377876871649715,6,Family,120
Christensenellaceae,0.4400333452204177,0.3075126818504569,7,Family,120
Defluviitaleaceae,0.6275522233607279,0.09430656246128354,5,Family,120
Desulfovibrionaceae,0.5583409285528891,0.23154620090954353,6,Family,120
Eggerthellaceae,0.417989417989418,NA,2,Family,120
Eubacteriaceae,0.4916201117318436,NA,2,Family,120
