taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.3874443313342873,0.26349918830946845,6,Class,318
Alphaproteobacteria,0.2718511295325037,0.23778658508369058,6,Class,318
Bacilli,0.3982301997652058,0.2981155081749861,7,Class,318
Bacteroidia,0.5204326557362241,0.3082478568077691,7,Class,318
Clostridia,0.46669104961189906,0.297791502260317,7,Class,318
Coriobacteriia,0.44521967495286835,0.2560018993040328,6,Class,318
Desulfovibrionia,0.6114705509880204,0.22748977025355022,6,Class,318
Fibrobacteria,0.43626185667738016,0.29031677457317806,7,Class,318
Gammaproteobacteria,0.5735574626987475,0.24984214711742916,7,Class,318
Gracilibacteria,0.47198831445129236,0.25353963601868423,7,Class,318
Kiritimatiellae,0.5057567523461101,0.3397673502265902,7,Class,318
Lentisphaeria,0.40346691338498636,0.25222845811077943,7,Class,318
MVP-15,0.6265060240963856,NA,2,Class,318
Methanobacteria,0.44166288898465,0.299097457039451,7,Class,318
Negativicutes,0.4839606698111017,0.2852371967655185,7,Class,318
Spirochaetia,0.4769465943216844,0.27185204258986967,7,Class,318
Thermoplasmata,0.2368932038834951,NA,2,Class,318
Absconditabacteriales_(SR1),0.46835093970032093,0.2499636127159167,7,Order,318
Acetobacterales,0.26443253246161225,0.24454250752305443,4,Order,318
Acholeplasmatales,0.41148524966424505,0.28720786896068,7,Order,318
Acidaminococcales,0.46202352386424,0.2569661394658431,7,Order,318
Aeromonadales,0.5518138921779087,0.2364206053949663,7,Order,318
Bacteroidales,0.5178545018425481,0.3060044136947305,7,Order,318
Bifidobacteriales,0.3793162888730303,0.26444780969359527,6,Order,318
Burkholderiales,0.7272727272727273,NA,2,Order,318
Christensenellales,0.4345698505070107,0.27931947789889006,7,Order,318
Clostridia_UCG-014,0.44600307894599733,0.2890922693855996,7,Order,318
Clostridia_or,0.3999384241886466,0.25212753117034925,7,Order,318
Coriobacteriales,0.4411532150692395,0.25235421384060885,6,Order,318
Desulfovibrionales,0.597679321774055,0.2174581785527095,6,Order,318
Eubacteriales,0.4590163934426229,NA,2,Order,318
Fibrobacterales,0.43240988444902606,0.28545728938128095,7,Order,318
Lachnospirales,0.475818972063311,0.3035630250301599,7,Order,318
Lactobacillales,0.5875341942803777,0.15331278125398884,3,Order,318
Methanobacteriales,0.4373360841037644,0.2950770653525254,7,Order,318
Methanomassiliicoccales,0.22789783889980353,NA,2,Order,318
Oligosphaerales,0.7005969453316488,0.13081941268126515,4,Order,318
Oscillospirales,0.4896629958966899,0.30655995233559297,7,Order,318
Peptostreptococcales-Tissierellales,0.4969230196076847,0.22627033468548832,6,Order,318
Rhodospirillales,0.47428008329704385,0.18015001391389976,4,Order,318
Spirochaetales,0.4733543169568366,0.26803267651199514,7,Order,318
Veillonellales-Selenomonadales,0.4840572860921068,0.29871811169847545,7,Order,318
Victivallales,0.49594115509353054,0.1877027455092184,7,Order,318
WCHB1-41,0.5007553145127053,0.3351905335476197,7,Order,318
Acetobacteraceae,0.25031472585656944,0.24201472873421373,4,Family,318
Acholeplasmataceae,0.40847580688386165,0.28066360671862034,7,Family,318
Acidaminococcaceae,0.45087357474320144,0.2578494406095184,7,Family,318
Anaerovoracaceae,0.4888585089033479,0.21233043189859066,6,Family,318
Atopobiaceae,0.47426432165593313,0.2360692508534121,6,Family,318
Bacteroidales_BS11_gut_group,0.5018725995070376,0.32089496531981515,7,Family,318
Bacteroidales_RF16_group,0.47713186088084364,0.28415274926061124,7,Family,318
Bacteroidales_UCG-001,0.40797169095338487,0.23924771842626721,4,Family,318
Bifidobacteriaceae,0.3588290078741416,0.2463429549620163,6,Family,318
Christensenellaceae,0.43120152790722804,0.2708011875290364,7,Family,318
Defluviitaleaceae,0.6079024450692273,0.1563883711047403,5,Family,318
Desulfovibrionaceae,0.5768011563262998,0.2024618828467312,6,Family,318
Eggerthellaceae,0.41696113074204944,NA,2,Family,318
Eubacteriaceae,0.4662576687116564,NA,2,Family,318
F082,0.4834804247529802,0.27237557800696827,7,Family,318
Fibrobacteraceae,0.4266608059891793,0.2799848004259946,7,Family,318
Hungateiclostridiaceae,0.39146255945898156,0.23990232662168698,7,Family,318
Lachnospiraceae,0.4720412810261073,0.29712260758044173,7,Family,318
Lactobacillaceae,0.569928946165381,0.14004324417055733,3,Family,318
Methanobacteriaceae,0.43151740918041087,0.29529927838002284,7,Family,318
Methanomethylophilaceae,0.2202643171806168,NA,2,Family,318
Muribaculaceae,0.4340799352241252,0.2812384767357582,7,Family,318
Oligosphaeraceae,0.6940731199217309,0.11937067187582442,4,Family,318
Oscillospiraceae,0.5237790548853636,0.2864726332979577,7,Family,318
Prevotellaceae,0.511356614044355,0.28985580434145575,7,Family,318
Rikenellaceae,0.4943014550354387,0.29391328288295787,7,Family,318
Ruminococcaceae,0.4249184652039722,0.31609909549241616,7,Family,318
Selenomonadaceae,0.4335643309455006,0.29764680090298107,7,Family,318
Spirochaetaceae,0.4710525233353,0.2631272837199723,7,Family,318
Succinivibrionaceae,0.5421069564625435,0.22248220241971073,7,Family,318
UCG-010,0.328613499315002,0.1782004284191408,3,Family,318
Veillonellaceae,0.44848090154872133,0.44007263205506253,4,Family,318
p-251-o5,0.4515898187167986,0.2984380272364161,7,Family,318
vadinBE97,0.48179549305671215,0.17259511136754116,7,Family,318
Acetitomaculum,0.5239637277596283,0.17718288035612506,6,Genus,318
