from,PF_J,PF_J_sd,num_layers,run
ASV_00001,0.041673815461812244,0.03835041080679972,5,407
ASV_00002,0.06156060999521863,0.039874525450045106,7,407
ASV_00003,0.06885757023366029,0.049614390472336574,7,407
ASV_00004,0.0846629504390555,0.05314790951277661,7,407
ASV_00005,0.046808818505949645,0.04017431419547271,7,407
ASV_00006,0.06329778379278916,0.045756745004830505,7,407
ASV_00007,0.06365838496612555,0.05147636963945669,7,407
ASV_00008,0.05579299229111191,0.03276848886382963,7,407
ASV_00009,0.059433382217024065,0.04138414677544527,7,407
ASV_00010,0.06826700438189898,0.056387354221433074,7,407
ASV_00011,0.06728048772440239,0.043244951395108255,7,407
ASV_00012,0.05818224467733024,0.02032665436333727,6,407
ASV_00013,0.05508320535608671,0.04451594202303768,7,407
ASV_00014,0.06597243016701938,0.03892179683743773,7,407
ASV_00015,0.07320537779317868,0.04877718946011804,7,407
ASV_00016,0.0538206350363205,0.046330310925517565,6,407
ASV_00017,0.06394486583804232,0.042002176081800895,5,407
ASV_00018,0.06323424889951004,0.034987912290162355,7,407
ASV_00019,0.059032431073731295,0.03834812363162038,7,407
ASV_00020,0.0631841578878905,0.05237090914779664,7,407
ASV_00021,0.055407585505997975,0.03677854693876815,6,407
ASV_00022,0.07634388553004107,0.05877890988014684,7,407
ASV_00023,0.0828065761121733,0.06013502793830234,7,407
ASV_00024,0.060550484517711105,0.05010480280157162,7,407
ASV_00025,0.08479915841975433,0.055366191107636895,4,407
ASV_00026,0.05276085598839508,0.034301501069856834,7,407
ASV_00028,0.04948018272660892,0.04140251324261834,7,407
ASV_00029,0.0847785906913083,0.056261187265794425,7,407
ASV_00030,0.06924895366813674,0.04794648951622523,7,407
ASV_00031,0.06401014246395534,0.04238370025832536,7,407
ASV_00032,0.058817758738393344,0.05565143007324972,7,407
ASV_00033,0.07008540229013253,0.05103554797916566,7,407
ASV_00034,0.07561595603484665,0.044312974987514894,7,407
ASV_00035,0.06672348931600855,0.0525201155102606,7,407
ASV_00036,0.0638944642793223,0.04192335353621639,7,407
ASV_00037,0.06860854184183775,0.0685643813063085,6,407
ASV_00038,0.06944581884489653,0.04971531295261812,5,407
ASV_00039,0.11756330793638153,0.0708636760910943,5,407
ASV_00040,0.07780015630962155,0.04773015060571644,7,407
ASV_00041,0.05975163644455286,0.05257400202251089,6,407
ASV_00042,0.06680144173253733,0.05427720633411304,7,407
ASV_00043,0.0781137664214985,0.07188576674698542,5,407
ASV_00044,0.06082078301856495,0.05000358670290358,7,407
ASV_00045,0.08097807787803042,0.029711410993448435,6,407
ASV_00046,0.06246647692666226,0.0554745199378973,7,407
ASV_00047,0.03933954521409011,0.03232769510531465,4,407
ASV_00048,0.07880261861078909,0.04044714396241404,7,407
ASV_00049,0.037993898913420907,0.02827607488101795,6,407
ASV_00050,0.06258610199587372,0.03818337277937212,6,407
ASV_00051,0.05476936232605918,0.036845775558831874,7,407
ASV_00052,0.057034129411473775,0.04407147267178291,6,407
ASV_00053,0.07503432603910347,0.04269218940246548,7,407
ASV_00054,0.0488137624534923,0.041075544314383546,7,407
ASV_00055,0.05360223734724133,0.03179608178321937,7,407
ASV_00056,0.06816685900259094,0.056271845237251615,7,407
ASV_00057,0.08431495442004158,0.06052370776310622,7,407
ASV_00058,0.07101935547779568,0.043301254817503944,7,407
ASV_00059,0.05441204780727335,0.028187677446457404,7,407
ASV_00060,0.08613866979314524,0.023897313300111075,5,407
ASV_00061,0.07137133276525004,0.052690778277883155,5,407
ASV_00062,0.05763271506192132,0.04016176237979072,7,407
ASV_00063,0.06499298986079947,0.05260680952082915,7,407
ASV_00064,0.05961452493995088,0.033115902423096394,7,407
ASV_00065,0.10009991734313013,0.10565187690503042,4,407
ASV_00066,0.08539605392782998,0.05763834120620426,5,407
ASV_00067,0.052094238540013944,0.04484370015844983,7,407
ASV_00068,0.051243262877350024,0.036728723600865446,5,407
ASV_00069,0.05681761154569025,0.03727273677662045,6,407
ASV_00070,0.060868048431084544,0.04479733904646807,7,407
ASV_00071,0.05066737609358807,0.038311743049300864,7,407
ASV_00072,0.07717600773513811,0.04642638053814175,3,407
ASV_00073,0.046509180654228634,0.039372800314772055,5,407
ASV_00074,0.07480656593006087,0.027912178885421825,4,407
ASV_00075,0.0537268439978799,0.04836601930584469,5,407
ASV_00076,0.06128785233146053,0.04153582451752713,7,407
ASV_00077,0.03475783475783475,0.04750578768568597,3,407
ASV_00078,0.06523061857454399,0.04612869573208789,7,407
ASV_00079,0.06095413704157696,0.04225128737835395,5,407
ASV_00080,0.05734379661909377,0.057558895754140645,6,407
ASV_00081,0.06291013471852856,0.05619067775511891,7,407
ASV_00082,0.04477943154985956,0.007641004918067203,3,407
ASV_00083,0.04858237086265607,0.032823930535115384,7,407
ASV_00084,0.08538250179463097,0.04996693292229319,7,407
ASV_00085,0.07047494258089129,0.03750696362449075,5,407
ASV_00086,0.0770059597568112,0.05987288908544322,7,407
ASV_00087,0.07441484671149409,0.06061807786996175,7,407
ASV_00088,0.0652432915613723,0.05338825584602463,5,407
ASV_00089,0.06819874023559748,0.04687067222721159,5,407
ASV_00090,0.06716648237427406,0.04526158823264363,7,407
ASV_00091,0.049701664897492906,0.05586339287796539,5,407
ASV_00092,0.05537011463145528,0.05578554464265653,7,407
ASV_00093,0.07910400012442136,0.04296836831905878,6,407
ASV_00094,0.05424070302725592,0.032638151182417904,5,407
ASV_00095,0.04508829266860288,0.03247249028927093,6,407
ASV_00096,0.0625981621739479,0.05047766201042709,7,407
ASV_00097,0.056746382631027034,0.05011152690518904,6,407
ASV_00098,0.09894122200800731,0.09799112278185937,4,407
ASV_00099,0.0725653459619604,0.04216311930437356,5,407
ASV_00100,0.067356367615847,0.05247786365995924,6,407
ASV_00101,0.07858529104891669,0.054339793441194786,6,407
ASV_00102,0.04147462595278843,0.046236113724577164,5,407
ASV_00103,0.06278747024089773,0.04662798216606297,5,407
ASV_00104,0.06915299070428697,0.05339013369285084,6,407
ASV_00105,0.08428601384741607,0.04964658601008454,7,407
ASV_00106,0.10218852868124675,0.03548962496181396,6,407
ASV_00107,0.051373103574681556,0.04416931751650507,7,407
ASV_00108,0.09646060773084315,0.05438149693557976,3,407
ASV_00109,0.07066282505430815,0.034663228511219744,5,407
ASV_00110,0.10188750404884672,0.03553719848119289,5,407
ASV_00111,0.08097844805339323,0.06204421704158387,4,407
ASV_00112,0.06261281335798234,0.0459724065407832,7,407
ASV_00113,0.04865059787540227,0.04342365241530159,7,407
ASV_00115,0.10416666666666663,NA,2,407
ASV_00116,0.06850211216757954,0.049988207010172224,7,407
ASV_00117,0.058671394228237715,0.04765360153793181,6,407
ASV_00118,0.09613047551437806,0.05165242640836693,6,407
ASV_00119,0.06894355162913178,0.04848053250698376,5,407
ASV_00120,0.07457299482011463,0.04121894968909123,5,407
ASV_00121,0.07660853442435837,0.030196689919124393,3,407
ASV_00122,0.06822620026946496,0.06753740753589481,4,407
ASV_00123,0.07869247659564642,0.045807019029001035,5,407
ASV_00125,0.09931788223673454,0.05956460912720368,6,407
ASV_00126,0.085062238353105,0.014322404239274078,4,407
ASV_00127,0.07367518933551523,0.05896557287005642,5,407
ASV_00128,0.06602759232833506,0.046056982982964956,7,407
ASV_00129,0.05332042349689429,0.03915361468786071,5,407
ASV_00130,0.06645352573187133,0.05488755177168614,6,407
ASV_00131,0.04939186879349277,0.029182875692371452,7,407
ASV_00132,0.08635952170434924,0.03037967193329032,3,407
ASV_00133,0.06293378713765516,0.034179386783180866,6,407
ASV_00134,0.08034279023904743,0.045741909191213695,4,407
ASV_00135,0.061195793433088286,0.0704321784867336,5,407
ASV_00136,0.06154651054721209,0.05029841638801983,7,407
ASV_00137,0.050914886840650056,0.03981144780597508,5,407
